--Location
INSERT INTO Location (pincode, state) VALUES
    ('380001', 'Gujarat'),
    ('380002', 'Gujarat'),
    ('380003', 'Gujarat'),
    ('380004', 'Gujarat'),
    ('380005', 'Gujarat'),
    ('380006', 'Gujarat'),
    ('380007', 'Gujarat'),
    ('380008', 'Gujarat'),
    ('380009', 'Gujarat'),
    ('380010', 'Gujarat'),
    ('400001', 'Maharashtra'),
    ('400002', 'Maharashtra'),
    ('400003', 'Maharashtra'),
    ('400004', 'Maharashtra'),
    ('400005', 'Maharashtra'),
    ('400006', 'Maharashtra'),
    ('400007', 'Maharashtra'),
    ('400008', 'Maharashtra'),
    ('400009', 'Maharashtra'),
    ('400010', 'Maharashtra'),
    ('110001', 'Delhi'),
    ('110002', 'Delhi'),
    ('110003', 'Delhi'),
    ('110004', 'Delhi'),
    ('110005', 'Delhi'),
    ('110006', 'Delhi'),
    ('110007', 'Delhi'),
    ('110008', 'Delhi'),
    ('110009', 'Delhi'),
    ('110010', 'Delhi'),
    ('700001', 'West Bengal'),
    ('700002', 'West Bengal'),
    ('700003', 'West Bengal'),
    ('700004', 'West Bengal'),
    ('700005', 'West Bengal'),
    ('700006', 'West Bengal'),
    ('700007', 'West Bengal'),
    ('700008', 'West Bengal'),
    ('700009', 'West Bengal'),
    ('700010', 'West Bengal'),
    ('302001', 'Rajasthan'),
    ('302002', 'Rajasthan'),
    ('302003', 'Rajasthan'),
    ('302004', 'Rajasthan'),
    ('302005', 'Rajasthan'),
    ('302006', 'Rajasthan'),
    ('302007', 'Rajasthan'),
    ('302008', 'Rajasthan'),
    ('302009', 'Rajasthan'),
    ('302010', 'Rajasthan');

--Charity
INSERT INTO Charity (charity_id, charity_name, pincode) VALUES 
('CGJ001', 'Sewa Samiti', '380001'),
('CGJ002', 'Kshamata Trust', '380005'),
('CGJ003', 'Asha Foundation', '380009'),
('CMH001', 'Aarohan NGO', '400001'),
('CMH002', 'Maitri Foundation', '400005'),
('CMH003', 'Nirbhay Kadam', '400009'),
('CDL001', 'Roshni Trust', '110001'),
('CDL002', 'Hope Foundation', '110005'),
('CDL003', 'Shanti Sewa', '110010'),
('CWB001', 'Sabuj Sangha', '700001'),
('CWB002', 'Prayasam', '700005'),
('CWB003', 'Sampurna', '700010'),
('CRA001', 'Aasra Foundation', '302001'),
('CRA002', 'Udaan NGO', '302005'),
('CRA003', 'Sahara Trust', '302009');

--Employee
INSERT INTO Employee (employee_id, charity_id, employee_name) VALUES
('CGJ001E001', 'CGJ001', 'Amit Patel'),
('CGJ001E002', 'CGJ001', 'Kavita Shah'),
('CGJ001E003', 'CGJ001', 'Rahul Singh'),
('CGJ001E004', 'CGJ001', 'Preeti Mehta'),
('CGJ001E005', 'CGJ001', 'Rajesh Sharma'),
('CGJ001E006', 'CGJ001', 'Anjali Desai'),
('CGJ001E007', 'CGJ001', 'Vikram Singh'),
('CGJ001E008', 'CGJ001', 'Radha Gupta'),
('CGJ001E009', 'CGJ001', 'Hemant Patel'),
('CGJ001E010', 'CGJ001', 'Monika Patel'),
('CGJ002E001', 'CGJ002', 'Riya Shah'),
('CGJ002E002', 'CGJ002', 'Shweta Gupta'),
('CGJ002E003', 'CGJ002', 'Jatin Mehta'),
('CGJ002E004', 'CGJ002', 'Varun Patel'),
('CGJ002E005', 'CGJ002', 'Kunal Sharma'),
('CGJ002E006', 'CGJ002', 'Mansi Shah'),
('CGJ002E007', 'CGJ002', 'Rahul Thakur'),
('CGJ002E008', 'CGJ002', 'Shikha Patel'),
('CGJ002E009', 'CGJ002', 'Neha Singh'),
('CGJ002E010', 'CGJ002', 'Anil Sharma'),
('CGJ003E001', 'CGJ003', 'Smit Patel'),
('CGJ003E002', 'CGJ003', 'Shrey Gupta'),
('CGJ003E003', 'CGJ003', 'Jeel Mehta'),
('CGJ003E004', 'CGJ003', 'Vairaj Patel'),
('CGJ003E005', 'CGJ003', 'Jay Sharma'),
('CGJ003E006', 'CGJ003', 'Mani Shah'),
('CGJ003E007', 'CGJ003', 'Rakul Thakur'),
('CGJ003E008', 'CGJ003', 'Sneha Patel'),
('CGJ003E009', 'CGJ003', 'megha Singh'),
('CGJ003E010', 'CGJ003', 'Aakash Sharma'),
('MH001E01', 'CMH001', 'Arun Kumar'),
('MH001E02', 'CMH001', 'Divya Singh'),
('MH001E03', 'CMH001', 'Gaurav Sharma'),
('MH001E04', 'CMH001', 'Priya Patel'),
('MH001E05', 'CMH001', 'Rajesh Singh'),
('MH001E06', 'CMH001', 'Shweta Gupta'),
('MH001E07', 'CMH001', 'Vikram Kumar'),
('MH001E08', 'CMH001', 'Varun Sharma'),
('MH001E09', 'CMH001', 'Neha Singh'),
('MH001E10', 'CMH001', 'Kirti Patel'),
('MH002E01', 'CMH002', 'Aditi Singh'),
('MH002E02', 'CMH002', 'Aman Gupta'),
('MH002E03', 'CMH002', 'Anjali Patel'),
('MH002E04', 'CMH002', 'Divya Sharma'),
('MH002E05', 'CMH002', 'Karan Singh'),
('MH002E06', 'CMH002', 'Mansi Patel'),
('MH002E07', 'CMH002', 'Pooja Gupta'),
('MH002E08', 'CMH002', 'Rohit Kumar'),
('MH002E09', 'CMH002', 'Sandeep Sharma'),
('MH002E10', 'CMH002', 'Sneha Patel'),
('MH003E01', 'CMH003', 'Akash Singh'),
('MH003E02', 'CMH003', 'Ankit Sharma'),
('MH003E03', 'CMH003', 'Divya Patel'),
('MH003E04', 'CMH003', 'Isha Gupta'),
('MH003E05', 'CMH003', 'Karan Singh'),
('MH003E06', 'CMH003', 'Manish Patel'),
('MH003E07', 'CMH003', 'Pragya Sharma'),
('MH003E08', 'CMH003', 'Rahul Kumar'),
('MH003E09', 'CMH003', 'Shivani Singh'),
('MH003E10', 'CMH003', 'Swati Patel'),
('DL001E01', 'CDL001', 'Akanksha Sharma'),
('DL001E02', 'CDL001', 'Anjali Singh'),
('DL001E03', 'CDL001', 'Divya Gupta'),
('DL001E04', 'CDL001', 'Ishita Patel'),
('DL001E05', 'CDL001', 'Kunal Singh'),
('DL001E06', 'CDL001', 'Manisha Patel'),
('DL001E07', 'CDL001', 'Prachi Sharma'),
('DL001E08', 'CDL001', 'Raj Kumar'),
('DL001E09', 'CDL001', 'Shivangi Singh'),
('DL001E10', 'CDL001', 'Swati Gupta');
INSERT INTO Employee (employee_id, charity_id, employee_name) VALUES
('HFC00201', 'CDL002', 'Amit Sharma'),
('HFC00202', 'CDL002', 'Neha Singh'),
('HFC00203', 'CDL002', 'Rajesh Gupta'),
('HFC00204', 'CDL002', 'Priya Yadav'),
('HFC00205', 'CDL002', 'Ravi Verma'),
('HFC00206', 'CDL002', 'Sneha Jha'),
('HFC00207', 'CDL002', 'Ajay Kumar'),
('HFC00208', 'CDL002', 'Reena Singh'),
('HFC00209', 'CDL002', 'Alok Patel'),
('HFC00210', 'CDL002', 'Anjali Dubey');
INSERT INTO Employee (employee_id, charity_id, employee_name) VALUES
('SSC00301', 'CDL003', 'Sudhir Kumar'),
('SSC00302', 'CDL003', 'Vidya Singh'),
('SSC00303', 'CDL003', 'Sanjeev Gupta'),
('SSC00304', 'CDL003', 'Poonam Singh'),
('SSC00305', 'CDL003', 'Rajeshwar Verma'),
('SSC00306', 'CDL003', 'Anita Jha'),
('SSC00307', 'CDL003', 'Vikas Kumar'),
('SSC00308', 'CDL003', 'Geeta Singh'),
('SSC00309', 'CDL003', 'Anuj Patel'),
('SSC00310', 'CDL003', 'Suman Dubey');
INSERT INTO Employee (employee_id, charity_id, employee_name) VALUES
('SSCWB00101', 'CWB001', 'Sukumar Das'),
('SSCWB00102', 'CWB001', 'Soma Roy'),
('SSCWB00103', 'CWB001', 'Debasish Banerjee'),
('SSCWB00104', 'CWB001', 'Ratna Ghosh'),
('SSCWB00105', 'CWB001', 'Alok Mukherjee'),
('SSCWB00106', 'CWB001', 'Indrani Sengupta'),
('SSCWB00107', 'CWB001', 'Rajib Chowdhury'),
